T,D,TP,DP,TI,N,Targets,FixationCrossTA,FixationCrossTR,CoolDownPostCrossTA,CoolDownPostCrossTR,StimuliTA,StimuliTR,MaskTA,MaskTR,CoolDownPostTrialTA,CoolDownPostTrialTR
4,4,0,0,2.5,1,KUHE,-0.337,-0.305,-0.197,-0.583,-0.077,-0.461,-0.586,-0.641,-1.032,-3.615
4,4,0,0,2.5,2,LNET,-0.651,-0.565,-0.042,-0.228,-0.041,-0.271,-0.098,-0.359,-0.47,-2.515
4,4,0,0,2.5,3,WNAM,-0.542,-0.543,-0.603,-0.823,-0.563,-0.695,-0.468,-0.537,-0.563,-2.78
4,4,0,0,2.5,4,XQKJ,-0.328,-0.371,-0.634,-0.769,-0.393,-0.553,-0.434,-0.494,-0.394,-4.693
4,4,0,0,2.5,5,QRXB,-0.347,-0.29,-0.206,-0.384,-0.148,-0.273,-0.642,-0.674,-0.49,-2.834
4,4,0,0,2.5,6,GDXY,-0.407,-0.323,-0.389,-0.638,-0.292,-0.381,-0.143,-0.182,-0.306,-2.368
4,4,0,0,2.5,7,LKOP,-0.845,-0.824,-0.781,-0.821,-0.348,-0.537,-0.626,-2.817,-0.01,-1.938
4,4,0,0,2.5,8,MCSL,-0.648,-3.064,-0.151,-0.35,-0.181,-0.395,-0.105,-0.188,-0.594,-2.773
4,4,0,0,2.5,9,JTXN,-0.861,-0.825,-0.618,-0.642,-0.576,-0.688,-0.464,-0.503,-0.119,-4.609
4,4,0,0,2.5,10,AFON,-0.423,-0.488,-1.086,-1.018,-0.59,-0.723,-0.047,-0.188,-0.046,-1.915

