settingID, T,D,Tfar,Dfar,Depth,time,trialNumb,TargetsPresented,DistractorsPresented,StimuliErr,MaskErr
1,8,0,0,0,0,0.02,1,MYAUDGPR,!,1.228,0.031
2,8,0,1,0,2,0.1,2,FWLCQDSU,!,1.916,-0.093
5,4,4,0,1,2,0.15,3,TFKC,EJZV,-0.154,-0.423
1,8,0,0,0,0,0.2,4,MEVNZDKU,!,-0.725,-1.587

,0,1,0,2,0.15,5,YFADRPUI,!,-0.431,-1.106
3,4,4,0,0,0,0.15,6,PDQV,FMTA,0.306,0.237
1,8,0,0,0,0,0.05,7,SGLMHRVT,!,-0.198,0.028
2,8,0,1,0,2,0.01,8,BNSMPXQV,!,0,0.075
6,4,4,1,1,2,0.15,9,ULEX,NKJQ,1.956,0.164
2,8,0,1,0,2,0.05,10,JVBWMZHF,!,0.276,0.248
1,8,0,0,0,0,0.02,11,DHGATWZO,!,-1.01,0.628
2,8,0,1,0,2,0.1,12,NBVROMQA,!,3.426,-0.384
1,8,0,0,0,0,0.01,13,SGATOQWK,!,-0.285,-0.239
2,8,0,1,0,2,0.2,14,UZVNTIDS,!,0.693,-0.175
5,4,4,0,1,2,0.15,15,SBRI,ALDF,0.711,-0.019
1,8,0,0,0,0,0.15,16,OCZQNKAV,!,0.064,-0.159

